Category,QuestionID,QuestionStem,QuestionInstruction,QuestionType,Locale
DV Measurement,DV_Measurement_1,Do the measured behaviors reasonably represent the construct authors identify as the focus of the intervention?,"It might be helpful to review the purpose/research questions and determine whether these are aligned with dependent variable definitions and response measurement. If unclear, report ""no"".",YesNo,en-us
DV Measurement,DV_Measurement_2,"Do authors use a measurement system that aligns with the dimension of the behavior of interest, and are the data reported in a way that the dimension of interest is represented?","Authors may be primarily interested in duration (for behaviors that are non-trivial in length, such as engagement) or count (for behaviors that are trivial in length, such as correctly responding to a question or hitting). Duration behaviors should be reported as the amount or proportion/percent of time spent in the behavior. Count behaviors should be reported as a number, rate, or a proportion/percentage of opportunities. Complex behaviors that could involve count and duration (e.g., classes of challenging behaviors that may include hitting and tantrums) may use either or both. If unclear, report ""no"".",YesNo,en-us
DV Measurement,DV_Measurement_3,Do authors collect reliability data?,Yes: Authors collect reliability data (generally referred to as inter observer agreement data).   No: Authors do not collect data OR data collection is unclear or unreported.,YesNo,en-us
DV Measurement,DV_Measurement_4,"Do authors collect reliability data in both conditions, and for a sufficient number of sessions?","Yes: Authors collect reliability data in both conditions, for a sufficient number of sessions (For example, authors collect data in baseline and intervention conditions for each tier in a multiple baseline design).   No: Authors do not collect data, do not collect sufficient data OR data collection is unclear or unreported.   Reviewers should determine what is adequate prior to beginning coding (see ""Initial Questions"" tab) and specify in the column to the right. Appropriate frequency depends on complexity of behavior and measurement contexts. For example, measurement engagement in an early childhood classroom is more complex than measuring correct responding in a research room. Thus, lower frequency might be appropriate in the latter case.   Historically, minimum data collection for 20-33% of sessions have been suggested as acceptable.",YesNo,en-us
DV Measurement,DV_Measurement_5,Do reliability data suggest confidence in measurement of outcomes?,"Yes: Authors collect reliability data with sufficiently high levels of agreement or evidence that disagreement does not impact functional relation determination (e.g., data from both observers are graphed and both have data patterns that show clear change).   No: Authors do not collect data or levels of agreement and/or rigor of method (e.g., gross agreement when point by point would be appropriate) are low enough to undermine confidence in data.   Authors of reviews should determine what is adequate prior to beginning coding. Appropriate agreement levels depend on complexity of behavior and measurement contexts. For example, measurement engagement in an early childhood classroom is more complex than measuring correct responding in a research room. Thus, higher agreement might be appropriate in the latter case. Prior to the review, reviewers should determine whether global agreement measures across dependent variables (e.g., an average of 90% agreement, but collapsed across challenging behavior, engagement, and academic responding) is sufficient here and specify in the column to the right.",YesNo,en-us
DV Measurement,DV_Measurement_6,Do authors use naïve coders as a safeguard against measurement bias?,"Yes: Authors use coders who are naïve to study condition and/or expected outcomes.   No: Coders are aware of study conditions and expected outcomes.   Not Possible: Due to the nature of the intervention, it is not possible to blind coders (e.g., it is apparent even to naïve personnel when intervention is implemented due to differences in materials or interactions). For example, if the intervention is use of visual supports, blinding of personnel is not possible because visual supports may be necessarily included in intervention conditions.",YesNoNotPossible,en-us
DV Measurement,DV_Measurement_7,What is the context for data collection?,"Context bound (CB): Data are collected in intervention contexts, or in contexts that are very similar to intervention (e.g., have the same implementer/social partners, settings, materials, and interactions).  Partially context bound (PCB): Data are collected in contexts that are similar to intervention, including at least one of the same: implementer/social partners, materials, and interactions (e.g., given an intervention involving system of least prompts in a research context with a researcher, a partially context bound variable could be one measured in a context with a teacher in a classroom, if the teacher is using system of least prompts) Generalized (G): Data are collected in contexts that are dissimilar from intervention in that none of the following are the same: implementer/social partners, materials, and interactions.  For more information about boundedness, read this article: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9552805/",CbPcbG,en-us
Design Appropriateness,Design_Appropriateness_1,Is the design appropriate for answering the research question?,"Note: a design can be appropriate for answering a research question that does not align with YOUR research question. For example, a study using an A-B-A-B design for assessing engagement might include secondary data on number of reading comprehension questions answered correctly. For engagement, the A-B-A-B design is appropriate. For reading comprehension (a non-reversible dependent variable), the design is inappropriate.",YesNo,en-us
Design Appropriateness,Design_Appropriateness_2,Do at least three potential demonstrations of effect exist?,"Potential demonstrations include changes between relevant conditions. All changes should be between identical conditions.   Sequential introduction and withdrawal designs (e.g., A-B-A-B) should include alternation of two conditions for a minimum of four phases with no additional conditions intermixed. For example, an A-B-A-B design meets this criterion (comparison between A and B) as does an A-B-C-A-C-A  (comparisons between C and A) but the following designs do not: A-B-C-A-C, A-B-C-D, A-B-A-C.   Time lagged designs (e.g., multiple baseline, multiple probe) should include at least 3 tiers with sufficiently different start points and baseline lengths (authors of reviews should determine acceptable start points & baseline lengths, given their research questions). See this article: https://link.springer.com/article/10.1007/s40614-022-00326-1   Rapid iterative alternation designs (e.g., ATD, AATD) should include rapid alternation of the conditions of interest. If research questions are related to effectiveness in relation to baseline, an ongoing baseline or control condition is required. For example, an ATD design with alternating “B” and “C” conditions without an ongoing, alternating “A” condition is not sufficient for answering a question about the effectiveness of “B” or “C” in comparison to baseline, but would be sufficient for answering a question about the effectiveness of ""B"" in comparison to ""C.",YesNo,en-us
Design Appropriateness,Design_Appropriateness_3,Are there sufficient data points such that threats to internal validity are mitigated?,"Generally report “yes” if changes/differences in data between conditions intervention can be reasonably attributed to intervention and report “no” if more data are needed because (a) baseline data weren’t sufficiently stable prior to introduction, resulting in difficulty determining what data patterns might have been in the absence of condition change, (b) insufficient data in intervention phases preclude confidence that behavior change was due to condition changes. Generally, fewer data collection occasions are required when data are stable and/or at floor or ceiling levels. Only report ""no"" if more data are needed to help make a determination; that is, lack of difference in data between conditions is not a reason for a ""no"" here.",YesNo,en-us
